,MyUnknownColumn,Project_name,Area_In_City,Developer,Possesion_Details,2BHK_Price,3BHK_Price,3BHK_Carpet,2BHK_Carpet,Ratings
239,6,Sardar Inspire Residency,Andheri East,Sardar Realty,Possession in 2025, 1.10 Cr - 1.14 Cr                                                             , 1.51 Cr - 1.59 Cr                                                             ,571 - 578 sqft,418 - 428 sqft,6.0
240,7,DEM Phoenix,Malad East,DEM Infra,Possession in 2025, 67.2 Lac - 79.4 Lac                                                             , 1.09 Cr - 1.19 Cr                                                             ,520 - 570 sqft,320 - 378 sqft,6.0
241,8,Paranjape Athena,Bandra East,Paranjape Schemes Construction Ltd.,Possession in 2027, 2.54 Cr - 2.54 Cr                                                             , 3.48 Cr - 3.49 Cr                                                             ,854  sqft,616  sqft,4.0
242,9,Palkhi Mrda,Kandivali East,Palkhi Realty,Possession in 2026, 1.70 Cr - 1.73 Cr                                                             , 1.15 Cr - 1.29 Cr                                                             ,590 - 615 sqft,692 - 713 sqft,9.0
243,10,Veena Smart Homes,Kandivali West,Veena Developers,Possession in 2023, 1.14 Cr - 1.20 Cr                                                             , 1.69 Cr - 1.98 Cr                                                             ,691 - 699 sqft,415 - 424 sqft,9.0
244,11,Passcode Mumbai Wants To Know,Andheri East,Veena Developers,Possession in 2025, 2.10 Cr - 2.40 Cr                                                             , 4 Cr - 4.10 Cr                                                             ,890  sqft,879  sqft,0.0
245,12,Rustomjee Aden,Bandra East,Keysky Realtors Pvt Ltd,Possession in 2026, 2.10 Cr - 2.40 Cr                                                             , 4 Cr - 4.10 Cr                                                             ,890  sqft,879  sqft,3.0
246,13,BLA Business Park ,Goregaon East,Elegant Builders and Developers,Possession in 2026, 2.10 Cr - 2.40 Cr                                                             , 4 Cr - 4.10 Cr                                                             ,890  sqft,879  sqft,1.0
247,0,Pride Panorama,Andheri East,Pride Group,Possession in 2025, 1.23 Cr - 1.58 Cr                                                             , 1.70 Cr - 2.10 Cr                                                             ,658 - 824 sqft,460 - 622 sqft,6.0
248,1,Lodha Divino,Matunga East,Lodha,Possession in 2026, 2.14 Cr - 2.35 Cr                                                             , 3.59 Cr - 3.94 Cr                                                             ,820  sqft,840 - 928 sqft,7.0
249,2,VS Royale 22,Vikhroli East,VS Developers,Possession in 2025, 5.15 Cr - 6.25 Cr                                                             , 7.35 Cr - 7.69 Cr                                                             ,1727  sqft,1227 - 1331 sqft,10.0
250,3,Godrej Five Gardens,Matunga,Godrej Properties,Possession in 2028, 1.10 Cr                                                             , 1.50 Cr                                                             ,599  sqft,435  sqft,5.0
251,4,Godrej Bliss,Kandivali East,Godrej Properties,Possession in 2028, 2.50 Cr                                                             , 9.50 Cr                                                             ,1496  sqft,1036  sqft,4.0
252,5,Oxford Navrang Crystal,Goregaon West,Oxford Group,Possession in 2025, 1.62 Cr                                                             , 2.25 Cr - 2.33 Cr                                                             ,944 - 976 sqft,688  sqft,10.0
253,6,Raveshia Aryana Heights,Ghatkopar East,Raveshia Realty,Possession in 2026, 1.52 Cr - 1.53 Cr                                                             , 1.28 Cr - 1.71 Cr                                                             ,541 - 672 sqft,636 - 656 sqft,5.0
